iter	Passed	Remaining
0	127	127668
1	129	64392
2	130	43302
3	131	32748
4	132	26420
5	133	22186
6	135	19164
7	136	16907
8	137	15148
9	138	13750
10	142	12770
11	143	11837
12	145	11018
13	146	10327
14	148	9721
15	149	9196
16	150	8727
17	152	8300
18	153	7916
19	155	7601
20	156	7306
21	158	7024
22	159	6765
23	160	6527
24	161	6307
25	162	6103
26	164	5914
27	165	5739
28	166	5576
29	167	5423
30	169	5310
31	171	5186
32	172	5062
33	173	4942
34	175	4830
35	176	4723
36	177	4622
37	178	4527
38	180	4435
39	181	4349
40	182	4266
41	184	4215
42	186	4145
43	187	4075
44	188	4005
45	189	3939
46	191	3876
47	192	3815
48	193	3758
49	194	3702
50	196	3648
51	197	3595
52	199	3559
53	200	3515
54	202	3473
55	203	3431
56	205	3391
57	206	3355
58	208	3320
59	209	3282
60	210	3243
61	211	3205
62	213	3173
63	215	3144
64	216	3111
65	217	3078
66	218	3045
67	219	3013
68	221	2983
69	222	2952
70	223	2923
71	224	2894
72	225	2867
73	226	2840
74	228	2816
75	230	2797
76	231	2773
77	232	2749
78	233	2725
79	235	2702
80	236	2679
81	237	2658
82	238	2630
83	239	2608
84	240	2588
85	241	2568
86	242	2548
87	244	2535
88	246	2519
89	247	2502
90	248	2483
91	249	2465
92	251	2448
93	252	2431
94	253	2414
95	254	2398
96	255	2381
97	257	2365
98	258	2351
99	260	2344
100	261	2329
101	262	2314
102	264	2300
103	265	2286
104	266	2272
105	267	2259
106	269	2245
107	270	2231
108	271	2218
109	272	2205
110	274	2201
111	276	2190
112	277	2178
113	278	2165
114	279	2153
115	281	2141
116	282	2128
117	283	2116
118	284	2104
119	285	2093
120	286	2082
121	287	2070
122	289	2064
123	291	2056
124	292	2048
125	293	2039
126	295	2028
127	296	2020
128	298	2013
129	299	2004
130	300	1994
131	301	1984
132	303	1975
133	304	1969
134	306	1962
135	307	1953
136	308	1944
137	309	1935
138	311	1926
139	312	1918
140	313	1909
141	314	1898
142	315	1890
143	316	1882
144	317	1874
145	319	1870
146	321	1863
147	322	1855
148	323	1848
149	324	1840
150	325	1832
151	327	1825
152	328	1817
153	329	1810
154	330	1803
155	332	1796
156	333	1789
157	334	1785
158	336	1780
159	337	1773
160	338	1764
161	339	1757
162	340	1750
163	342	1744
164	343	1737
165	344	1731
166	345	1725
167	347	1718
168	348	1712
169	350	1709
170	351	1704
171	352	1698
172	354	1692
173	355	1686
174	356	1680
175	357	1674
176	358	1668
177	360	1662
178	361	1656
179	362	1651
180	363	1646
181	365	1642
182	366	1637
183	367	1631
184	369	1626
185	370	1620
186	371	1614
187	372	1609
188	373	1604
189	375	1598
190	376	1593
191	377	1588
192	378	1584
193	381	1586
194	383	1582
195	384	1578
196	386	1574
197	387	1570
198	389	1566
199	390	1562
200	392	1558
201	394	1559
202	396	1557
203	398	1555
204	400	1552
205	402	1551
206	404	1549
207	405	1545
208	408	1545
209	410	1543
210	411	1539
211	412	1534
212	414	1530
213	415	1525
214	416	1520
215	417	1515
216	418	1511
217	419	1506
218	421	1501
219	422	1497
220	423	1494
221	425	1491
222	427	1487
223	428	1483
224	429	1479
225	430	1475
226	431	1470
227	433	1466
228	434	1462
229	435	1458
230	436	1454
231	438	1450
232	440	1448
233	441	1444
234	442	1440
235	443	1436
236	444	1432
237	446	1428
238	447	1424
239	448	1419
240	449	1415
241	450	1411
242	451	1407
243	453	1404
244	455	1403
245	456	1400
246	458	1397
247	459	1394
248	461	1390
249	462	1387
250	464	1384
251	465	1381
252	466	1378
253	468	1376
254	470	1375
255	472	1373
256	474	1370
257	475	1367
258	476	1364
259	478	1361
260	479	1358
261	481	1355
262	482	1352
263	484	1351
264	486	1348
265	487	1345
266	489	1342
267	490	1339
268	491	1336
269	493	1334
270	494	1331
271	496	1329
272	498	1327
273	500	1326
274	502	1324
275	503	1321
276	505	1318
277	506	1315
278	511	1321
279	513	1319
280	515	1317
281	516	1315
282	517	1312
283	519	1309
284	520	1306
285	522	1304
286	523	1301
287	525	1298
288	526	1296
289	528	1293
290	530	1293
291	532	1291
292	534	1288
293	535	1286
294	536	1283
295	540	1286
296	542	1284
297	543	1280
298	546	1282
299	548	1279
300	549	1276
301	551	1274
302	552	1271
303	554	1268
304	555	1265
305	556	1262
306	557	1258
307	559	1256
308	561	1255
309	563	1253
310	564	1250
311	566	1248
312	567	1245
313	568	1243
314	570	1239
315	571	1236
316	572	1233
317	574	1231
318	576	1230
319	578	1228
320	579	1225
321	580	1222
322	582	1220
323	583	1217
324	584	1214
325	585	1211
326	587	1208
